0.538	6.575	4.09	15.3	24
0.469	6.421	4.9671	17.8	21.6
0.469	7.185	4.9671	17.8	34.7
0.458	6.998	6.0622	18.7	33.4
0.458	7.147	6.0622	18.7	36.2
0.458	6.43	6.0622	18.7	28.7
0.524	6.012	5.5605	15.2	22.9
0.524	6.172	5.9505	15.2	27.1
0.524	5.631	6.0821	15.2	16.5
0.524	6.004	6.5921	15.2	18.9
0.524	6.377	6.3467	15.2	15
0.524	6.009	6.2267	15.2	18.9
0.524	5.889	5.4509	15.2	21.7
0.538	5.949	4.7075	21	20.4
0.538	6.096	4.4619	21	18.2
0.538	5.834	4.4986	21	19.9
0.538	5.935	4.4986	21	23.1
0.538	5.99	4.2579	21	17.5
0.538	5.456	3.7965	21	20.2
0.538	5.727	3.7965	21	18.2
0.538	5.57	3.7979	21	13.6
0.538	5.965	4.0123	21	19.6
0.538	6.142	3.9769	21	15.2
0.538	5.813	4.0952	21	14.5
0.538	5.924	4.3996	21	15.6
0.538	5.599	4.4546	21	13.9
0.538	5.813	4.682	21	16.6
0.538	6.047	4.4534	21	14.8
0.538	6.495	4.4547	21	18.4
0.538	6.674	4.239	21	21
0.538	5.713	4.233	21	12.7
0.538	6.072	4.175	21	14.5
0.538	5.95	3.99	21	13.2
0.538	5.701	3.7872	21	13.1
0.538	6.096	3.7598	21	13.5
0.499	5.933	3.3603	19.2	18.9
0.499	5.841	3.3779	19.2	20
0.499	5.85	3.9342	19.2	21
0.499	5.966	3.8473	19.2	24.7
0.428	6.595	5.4011	18.3	30.8
0.428	7.024	5.4011	18.3	34.9
0.448	6.77	5.7209	17.9	26.6
0.448	6.169	5.7209	17.9	25.3
0.448	6.211	5.7209	17.9	24.7
0.448	6.069	5.7209	17.9	21.2
0.448	5.682	5.1004	17.9	19.3
0.448	5.786	5.1004	17.9	20
0.448	6.03	5.6894	17.9	16.6
0.448	5.399	5.87	17.9	14.4
0.448	5.602	6.0877	17.9	19.4
0.439	5.963	6.8147	16.8	19.7
0.439	6.115	6.8147	16.8	20.5
0.439	6.511	6.8147	16.8	25
0.439	5.998	6.8147	16.8	23.4
0.41	5.888	7.3197	21.1	18.9
0.403	7.249	8.6966	17.9	35.4
0.41	6.383	9.1876	17.3	24.7
0.411	6.816	8.3248	15.1	31.6
0.453	6.145	7.8148	19.7	23.3
0.453	5.927	6.932	19.7	19.6
0.453	5.741	7.2254	19.7	18.7
0.453	5.966	6.8185	19.7	16
0.453	6.456	7.2255	19.7	22.2
0.453	6.762	7.9809	19.7	25
0.4161	7.104	9.2229	18.6	33
0.398	6.29	6.6115	16.1	23.5
0.398	5.787	6.6115	16.1	19.4
0.409	5.878	6.498	18.9	22
0.409	5.594	6.498	18.9	17.4
0.409	5.885	6.498	18.9	20.9
0.413	6.417	5.2873	19.2	24.2
0.413	5.961	5.2873	19.2	21.7
0.413	6.065	5.2873	19.2	22.8
0.413	6.245	5.2873	19.2	23.4
0.437	6.273	4.2515	18.7	24.1
0.437	6.286	4.5026	18.7	21.4
0.437	6.279	4.0522	18.7	20
0.437	6.14	4.0905	18.7	20.8
0.437	6.232	5.0141	18.7	21.2
0.437	5.874	4.5026	18.7	20.3
0.426	6.727	5.4007	19	28
0.426	6.619	5.4007	19	23.9
0.426	6.302	5.4007	19	24.8
0.426	6.167	5.4007	19	22.9
0.449	6.389	4.7794	18.5	23.9
0.449	6.63	4.4377	18.5	26.6
0.449	6.015	4.4272	18.5	22.5
0.449	6.121	3.7476	18.5	22.2
0.489	7.007	3.4217	17.8	23.6
0.489	7.079	3.4145	17.8	28.7
0.489	6.417	3.0923	17.8	22.6
0.489	6.405	3.0921	17.8	22
0.464	6.442	3.6659	18.2	22.9
0.464	6.211	3.6659	18.2	25
0.464	6.249	3.615	18.2	20.6
0.445	6.625	3.4952	18	28.4
0.445	6.163	3.4952	18	21.4
0.445	8.069	3.4952	18	38.7
0.445	7.82	3.4952	18	43.8
0.445	7.416	3.4952	18	33.2
0.52	6.727	2.7778	20.9	27.5
0.52	6.781	2.8561	20.9	26.5
0.52	6.405	2.7147	20.9	18.6
0.52	6.137	2.7147	20.9	19.3
0.52	6.167	2.421	20.9	20.1
0.52	5.851	2.1069	20.9	19.5
0.52	5.836	2.211	20.9	19.5
0.52	6.127	2.1224	20.9	20.4
0.52	6.474	2.4329	20.9	19.8
0.52	6.229	2.5451	20.9	19.4
0.52	6.195	2.7778	20.9	21.7
0.547	6.715	2.6775	17.8	22.8
0.547	5.913	2.3534	17.8	18.8
0.547	6.092	2.548	17.8	18.7
0.547	6.254	2.2565	17.8	18.5
0.547	5.928	2.4631	17.8	18.3
0.547	6.176	2.7301	17.8	21.2
0.547	6.021	2.7474	17.8	19.2
0.547	5.872	2.4775	17.8	20.4
0.547	5.731	2.7592	17.8	19.3
0.581	5.87	2.2577	19.1	22
